通しNo,No,協定締結の主体,事業者名,店舗名称（ブランド名）,店名,都道府県,市区町村,所在地,緯度,経度
01237,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川大野店,千葉県,市川市,市川市南大野１ー４４ー５,35.740397,139.952752
01238,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,富浜店,千葉県,市川市,市川市富浜３ー１６ー７,35.686228,139.922981
01239,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川本塩店,千葉県,市川市,市川市本塩１７－９,35.689655,139.921125
01575,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川塩焼１丁目店,千葉県,市川市,市川市塩焼１丁目２番１号,35.689113,139.927
01576,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川塩焼店,千葉県,市川市,市川市塩焼５－７－３３,35.684950,139.927505
01577,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,鬼越駅前店,千葉県,市川市,市川市鬼越１丁目４番４,35.719356,139.938665
01578,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川鬼高１丁目店,千葉県,市川市,市川市鬼高１－１４－１１,35.710652,139.933882
01579,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川鬼高３丁目店,千葉県,市川市,市川市鬼高３－１２－３２,35.709546,139.938856
01580,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,かけまま店,千葉県,市川市,市川市欠真間２－１８－２３,35.679181,139.903435
01581,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川行徳駅前１丁目店,千葉県,市川市,市川市行徳駅前１－２０－２,35.684581,139.915126
01582,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川行徳駅西店,千葉県,市川市,市川市行徳駅前２－２５－１８,35.681215,139.913004
01583,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川行徳駅南店,千葉県,市川市,市川市行徳駅前２－８－２０,35.681717,139.915540
01584,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,行徳駅前２丁目店,千葉県,市川市,市川市行徳駅前２丁目１６－６,35.682201,139.913015
01585,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川高谷１丁目店,千葉県,市川市,市川市高谷１丁目１２－１９,35.699014,139.941632
01586,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川高谷３丁目店,千葉県,市川市,市川市高谷３－１３－１６,35.695809,139.941615
01587,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川１丁目店,千葉県,市川市,市川市市川１丁目１２－９,35.730951,139.906883
01588,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川駅南口店,千葉県,市川市,市川市市川南１－２－１,35.727508,139.908839
01589,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川南１丁目店,千葉県,市川市,市川市市川南１丁目３番７号,35.725891,139.907847
01590,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川南３丁目店,千葉県,市川市,市川市市川南３－３－２２,35.729463,139.904100
01591,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川新井３丁目店,千葉県,市川市,市川市新井３ー１５ー１２,35.673612,139.897975
01592,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川新田２丁目店,千葉県,市川市,市川市新田２－１５－６,35.725336,139.914599
01593,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川真間１丁目店,千葉県,市川市,市川市真間１－１５－２３,35.732490,139.910636
01594,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川総合病院前店,千葉県,市川市,市川市菅野６－１－６,35.732602,139.920662
01595,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川菅野６丁目店,千葉県,市川市,市川市菅野６－１７－１４,35.734156,139.915844
01596,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川曾谷店,千葉県,市川市,市川市曽谷６－２６－１５,35.744221,139.926812
01597,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川相之川２丁目店,千葉県,市川市,市川市相之川２－１４－１６,35.678303,139.894953
01598,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川行徳バイパス店,千葉県,市川市,市川市相之川２－７－１４,35.676868,139.897347
01599,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川南行徳駅北店,千葉県,市川市,市川市相之川４－５－２,35.673679,139.902808
01600,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川大洲店,千葉県,市川市,市川市大洲３ー１０ー１３,35.720603,139.907425
01601,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川大町梨街道店,千葉県,市川市,市川市大町５３,35.766622,139.955906
01602,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川大野町３丁目店,千葉県,市川市,市川市大野町３丁目１７３９－１,35.757686,139.955762
01603,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川中国分３丁目店,千葉県,市川市,市川市中国分３丁目１－１５,35.751204,139.911288
01604,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川田尻１丁目店,千葉県,市川市,市川市田尻１丁目１０－１４,35.706958,139.928866
01605,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,原木中山店,千葉県,市川市,市川市田尻３丁目１１－１５,35.704786,139.93914
01606,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,東菅野店,千葉県,市川市,市川市東菅野３ー１ー１１,35.731285,139.930379
01607,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川東大和田２丁目店,千葉県,市川市,市川市東大和田２丁目４－１０,35.717418,139.922860
01608,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川南行徳駅前店,千葉県,市川市,市川市南行徳１－２０－１３,35.672051,139.901986
01609,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川南行徳３丁目店,千葉県,市川市,市川市南行徳３丁目２番１号,35.670829,139.901330
01610,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川南大野２丁目店,千葉県,市川市,市川市南大野２－４－２５,35.744497,139.952663
01611,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,南八幡店,千葉県,市川市,市川市南八幡１－１０－１,35.717906,139.929724
01612,01,九都県市,(株)セブン-イレブン・ジャパン,セブン‐イレブン,市川南八幡４丁目店,千葉県,市川市,市川市南八幡４－６－９,35.719650,139.926113
